"TID" "DATA_SET" "STATION" "GEAR_MODEL" "DATE_" "Year" "Month" "Day" "D.N" "HEURE" "Region" "LONGITUDE" "LATITUDE" "ZMin" "ZMax" "Zstation" "Z_habitat" "TAXON" "STADE" "Ind.m3" "ind.m2" "ID" "total_abund" "cum_abund" "pcum" "percZ_stn" "lInd.m3"
"81" "03-10-23_43.91_-62.92_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "03-10-23" 2003 "10" 23 "D" 1431 "WSS" -62.92 43.91 0 25 262 "Basins_100-325m" "Cfin" "CI_III" 0 0 "03-10-23_43.91_-62.92" 473 0 0 0.0954198473282443 0
"82" "04-04-27_43.26_-65.05_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "04-04-27" 2004 "4" 27 "N" 408 "WSS" -65.05 43.26 0 15 164.6 "Basins_100-325m" "Cfin" "CI_III" 305.933333333333 4589 "04-04-27_43.26_-65.05" 32964 4589 0.139212474214294 0.0911300121506683 5.72663056873956
"83" "04-04-28_44_-59.04_Cfin_CI_III" "SS_CALSPP" "GUL3" "BIONESS 0.5m" "04-04-28" 2004 "4" 28 "N" 618 "ESS" -59.04 44 0 50 500 "Slope_325-750m" "Cfin" "CI_III" 610.18 30509 "04-04-28_44_-59.04" 32300 30509 0.944551083591331 0.1 6.41539151480383
"84" "04-10-20_43.25_-65.03_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "04-10-20" 2004 "10" 20 "N" 225 "WSS" -65.03 43.25 0 15 164.6 "Basins_100-325m" "Cfin" "CI_III" 0 0 "04-10-20_43.25_-65.03" 30 0 0 0.0911300121506683 0
"85" "04-10-27_43.99_-59.04_Cfin_CI_III" "SS_CALSPP" "GULLY3" "BIONESS 0.5m" "04-10-27" 2004 "10" 27 "D" 1058 "ESS" -59.04 43.99 0 50 550 "Slope_325-750m" "Cfin" "CI_III" 18.36 918 "04-10-27_43.99_-59.04" 1001 918 0.917082917082917 0.0909090909090909 2.96320908184843
"86" "05-06-13_43.32_-67.09_Cfin_CI_III" "SS_CALSPP" "NE CHANNEL 1" "BIONESS 0.5m" "05-06-13" 2005 "6" 13 "D" 1749 "WSS" -67.09 43.32 0 40 195.5 "Basins_100-325m" "Cfin" "CI_III" 3.05 122 "05-06-13_43.32_-67.09" 136 122 0.897058823529412 0.20460358056266 1.39871688111845
"87" "05-06-13_43.34_-67.21_Cfin_CI_III" "SS_CALSPP" "JORDAN BASIN 2" "BIONESS 0.5m" "05-06-13" 2005 "6" 13 "N" 513 "WSS" -67.21 43.34 0 40 216.4 "Basins_100-325m" "Cfin" "CI_III" 2.825 113 "05-06-13_43.34_-67.21" 131 113 0.862595419847328 0.184842883548983 1.3415584672785
"88" "05-06-13_43.35_-67.05_Cfin_CI_III" "SS_CALSPP" "JORDAN BASIN 1" "BIONESS 0.5m" "05-06-13" 2005 "6" 13 "N" 221 "WSS" -67.05 43.35 0 40 195.8 "Basins_100-325m" "Cfin" "CI_III" 58.175 2327 "05-06-13_43.35_-67.05" 2383 2327 0.976500209819555 0.204290091930541 4.08049915540005
"89" "05-06-15_41.72_-65.77_Cfin_CI_III" "SS_CALSPP" "NE CHANNEL 2" "BIONESS 0.5m" "05-06-15" 2005 "6" 15 "D" 1638 "WSS" -65.77 41.72 0 50 377 "Slope_325-750m" "Cfin" "CI_III" 1.06 53 "05-06-15_41.72_-65.77" 69 53 0.768115942028985 0.13262599469496 0.72270598280149
"90" "05-06-16_42.01_-65.68_Cfin_CI_III" "SS_CALSPP" "NE CHANNEL 2" "BIONESS 0.5m" "05-06-16" 2005 "6" 16 "D" 1229 "WSS" -65.68 42.01 0 40 384.1 "Slope_325-750m" "Cfin" "CI_III" 0.1 4 "05-06-16_42.01_-65.68" 7 4 0.571428571428571 0.104139546992971 0.0953101798043249
"91" "05-06-16_42.04_-65.64_Cfin_CI_III" "SS_CALSPP" "NE CHANNEL 2" "BIONESS 0.5m" "05-06-16" 2005 "6" 16 "N" 620 "WSS" -65.64 42.04 0 60 221 "Basins_100-325m" "Cfin" "CI_III" 0.433333333333333 26 "05-06-16_42.04_-65.64" 29 26 0.896551724137931 0.271493212669683 0.360002734031407
"92" "05-10-22_44.05_-59.03_Cfin_CI_III" "SS_CALSPP" "GULDD3" "BIONESS 0.5m" "05-10-22" 2005 "10" 22 "D" 1343 "ESS" -59.03 44.05 0 50 598.6 "Slope_325-750m" "Cfin" "CI_III" 1.86 93 "05-10-22_44.05_-59.03" 391 93 0.237851662404092 0.0835282325425994 1.05082162483176
"93" "05-10-29_43.23_-65.08_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "05-10-29" 2005 "10" 29 "D" 1823 "WSS" -65.08 43.23 0 15 160.8 "Basins_100-325m" "Cfin" "CI_III" 0 0 "05-10-29_43.23_-65.08" 26 0 0 0.0932835820895522 0
"94" "05-10-29_43.87_-62.91_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "05-10-29" 2005 "10" 29 "D" 1057 "WSS" -62.91 43.87 0 30 262.6 "Basins_100-325m" "Cfin" "CI_III" 0 0 "05-10-29_43.87_-62.91" 0 0 0 0.114242193450114 0
"95" "06-04-24_44.23_-59.1_Cfin_CI_III" "SS_CALSPP" "GEA" "BIONESS 0.5m" "06-04-24" 2006 "4" 24 "N" 2305 "ESS" -59.1 44.23 2 25 255.1 "Basins_100-325m" "Cfin" "CI_III" 43.6086956521739 1003 "06-04-24_44.23_-59.1" 27721 1003 0.0361819559178962 0.098000784006272 3.79792880980157
"96" "06-04-24_44_-59.04_Cfin_CI_III" "SS_CALSPP" "GULDD3" "BIONESS 0.5m" "06-04-24" 2006 "4" 24 "N" 2011 "ESS" -59.04 44 2 50 450 "Slope_325-750m" "Cfin" "CI_III" 247.354166666667 11873 "06-04-24_44_-59.04" 13162 11873 0.902066555234767 0.111111111111111 5.51485581881011
"97" "06-04-25_44.22_-59.53_Cfin_CI_III" "SS_CALSPP" "GWA2" "BIONESS 0.5m" "06-04-25" 2006 "4" 25 "D" 929 "ESS" -59.53 44.22 2 20 214.2 "Basins_100-325m" "Cfin" "CI_III" 37 666 "06-04-25_44.22_-59.53" 47195 666 0.0141116643712258 0.0933706816059757 3.63758615972639
"98" "06-04-30_43.86_-62.89_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "06-04-30" 2006 "4" 30 "D" 1157 "WSS" -62.89 43.86 2 25 262.7 "Basins_100-325m" "Cfin" "CI_III" 164.173913043478 3776 "06-04-30_43.86_-62.89" 8939 3776 0.422418615057613 0.0951655881233346 5.10699893725848
"99" "06-05-03_43.23_-65.07_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "06-05-03" 2006 "5" 3 "N" 420 "WSS" -65.07 43.23 2 15 162.5 "Basins_100-325m" "Cfin" "CI_III" 503.230769230769 6542 "06-05-03_43.23_-65.07" 14922 6542 0.438413081356387 0.0923076923076923 6.22303403873626
"100" "07-04-05_43.23_-65.03_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "07-04-05" 2007 "4" 5 "N" 2119 "WSS" -65.03 43.23 0 15 164.5 "Basins_100-325m" "Cfin" "CI_III" 74.6 1119 "07-04-05_43.23_-65.03" 5122 1119 0.218469347910972 0.0911854103343465 4.32545628318549
"101" "07-04-10_43.87_-62.89_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "07-04-10" 2007 "4" 10 "N" 2344 "WSS" -62.89 43.87 0 20 261.4 "Basins_100-325m" "Cfin" "CI_III" 25.1 502 "07-04-10_43.87_-62.89" 22449 502 0.022361797852911 0.0765110941086458 3.26193531432865
"102" "08-10-08_43.87_-62.87_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "08-10-08" 2008 "10" 8 "D" 1155 "WSS" -62.87 43.87 0 25 260.8 "Basins_100-325m" "Cfin" "CI_III" 27.04 676 "08-10-08_43.87_-62.87" 1389 676 0.486681065514759 0.0958588957055215 3.33363206216639
"103" "08-10-10_42.61_-64.08_Cfin_CI_III" "SS_CALSPP" "RL5" "HydroBIOS" "08-10-10" 2008 "10" 10 "N" 1948 "WSS" -64.08 42.61 0 200 982.8 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "08-10-10_42.61_-64.08" 0 0 0 0.203500203500204 0
"104" "08-10-11_42_-65.48_Cfin_CI_III" "SS_CALSPP" "BBL6" "HydroBIOS" "08-10-11" 2008 "10" 11 "D" 1403 "WSS" -65.48 42 0 200 1100 "Oceanic_>750m" "Cfin" "CI_III" 2.6 520 "08-10-11_42_-65.48" 520 520 1 0.181818181818182 1.28093384546206
"105" "08-10-12_42.25_-65.86_Cfin_CI_III" "SS_CALSPP" "PS4" "BIONESS 0.5m" "08-10-12" 2008 "10" 12 "D" 1456 "WSS" -65.86 42.25 2 30 226.5 "Basins_100-325m" "Cfin" "CI_III" 2.25 63 "08-10-12_42.25_-65.86" 63 63 1 0.132450331125828 1.17865499634165
"106" "08-10-13_42.88_-66.02_Cfin_CI_III" "SS_CALSPP" "BCCJ" "BIONESS 0.5m" "08-10-13" 2008 "10" 13 "D" 928 "WSS" -66.02 42.88 2 30 144.2 "Basins_100-325m" "Cfin" "CI_III" 1.21428571428571 34 "08-10-13_42.88_-66.02" 46 34 0.739130434782609 0.208044382801664 0.794929874869888
"107" "08-10-13_43.23_-65.07_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "08-10-13" 2008 "10" 13 "D" 1413 "WSS" -65.07 43.23 0 30 162.5 "Basins_100-325m" "Cfin" "CI_III" 0 0 "08-10-13_43.23_-65.07" 0 0 0 0.184615384615385 0
"108" "08-10-18_44.12_-58.18_Cfin_CI_III" "SS_CALSPP" "LL7" "HydroBIOS" "08-10-18" 2008 "10" 18 "N" 2125 "ESS" -58.18 44.12 0 100 891.6 "Oceanic_>750m" "Cfin" "CI_III" 3.81 381 "08-10-18_44.12_-58.18" 381 381 1 0.112157918349035 1.57069708411767
"109" "78-10-12_41.75_-67.16_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-12" 1978 "10" 12 "N" 2100 "WSS" -67.16 41.75 4 6 50.3 "Shelf_0-100m" "Cfin" "CI_III" 0 0 "78-10-12_41.75_-67.16" 0 0 0 0.119284294234592 0
"110" "78-10-12_42.09_-67.16_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-12" 1978 "10" 12 "N" 2351 "WSS" -67.16 42.09 0 10 54.8 "Shelf_0-100m" "Cfin" "CI_III" 0 0 "78-10-12_42.09_-67.16" 0 0 0 0.182481751824818 0
"111" "78-10-12_42_-67.16_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-12" 1978 "10" 12 "N" 323 "WSS" -67.16 42 0 4 48.7 "Shelf_0-100m" "Cfin" "CI_III" 0 0 "78-10-12_42_-67.16" 0 0 0 0.082135523613963 0
"112" "78-10-13_42.15_-67.15_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-13" 1978 "10" 13 "N" 109 "WSS" -67.15 42.15 10 20 100.1 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-13_42.15_-67.15" 0 0 0 0.1998001998002 0
"113" "78-10-13_42.19_-67.15_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-13" 1978 "10" 13 "N" 237 "WSS" -67.15 42.19 0 10 156.6 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-13_42.19_-67.15" 0 0 0 0.0638569604086845 0
"114" "78-10-16_41.4_-66.97_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-16" 1978 "10" 16 "D" 1601 "WSS" -66.97 41.4 9 15 63 "Shelf_0-100m" "Cfin" "CI_III" 0 0 "78-10-16_41.4_-66.97" 0 0 0 0.238095238095238 0
"115" "78-10-16_42.14_-67.23_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-16" 1978 "10" 16 "N" 2247 "WSS" -67.23 42.14 0 7 102.2 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-16_42.14_-67.23" 0 0 0 0.0684931506849315 0
"116" "78-10-17_42.27_-67.24_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-17" 1978 "10" 17 "N" 130 "WSS" -67.24 42.27 0 6 267.9 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-17_42.27_-67.24" 0 0 0 0.0223964165733483 0
"117" "78-10-18_42.02_-66_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-18" 1978 "10" 18 "N" 2240 "WSS" -66 42.02 0 6 127.6 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-18_42.02_-66" 0 0 0 0.0470219435736677 0
"118" "78-10-18_42.08_-66.66_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-18" 1978 "10" 18 "D" 938 "WSS" -66.66 42.08 0 5 78.3 "Shelf_0-100m" "Cfin" "CI_III" 0 0 "78-10-18_42.08_-66.66" 0 0 0 0.0638569604086845 0
"119" "78-10-18_42.14_-66_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "78-10-18" 1978 "10" 18 "D" 1509 "WSS" -66 42.14 0 9 228.9 "Basins_100-325m" "Cfin" "CI_III" 0 0 "78-10-18_42.14_-66" 0 0 0 0.0393184796854522 0
"120" "79-04-21_43.99_-61.69_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "79-04-21" 1979 "4" 21 "N" 201 "WSS" -61.69 43.99 0 10 180 "Basins_100-325m" "Cfin" "CI_III" 0 0 "79-04-21_43.99_-61.69" 0 0 0 0.0555555555555556 0
"121" "81-10-09_44.01_-62.95_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 1.0m" "81-10-09" 1981 "10" 9 "N" 10 "ESS" -62.95 44.01 0 10 232 "Basins_100-325m" "Cfin" "CI_III" 0 0 "81-10-09_44.01_-62.95" 0 0 0 0.0431034482758621 0
"122" "81-10-18_43.97_-62.9_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "81-10-18" 1981 "10" 18 "D" 930 "WSS" -62.9 43.97 0 10 254.9 "Basins_100-325m" "Cfin" "CI_III" 0 0 "81-10-18_43.97_-62.9" 0 0 0 0.0392310710082385 0
"123" "81-10-18_44.01_-62.89_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "81-10-18" 1981 "10" 18 "N" 2315 "ESS" -62.89 44.01 0 10 249.8 "Basins_100-325m" "Cfin" "CI_III" 0 0 "81-10-18_44.01_-62.89" 0 0 0 0.0400320256204964 0
"124" "81-10-18_44.01_-62.93_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "81-10-18" 1981 "10" 18 "D" 1600 "ESS" -62.93 44.01 100 120 240.9 "Basins_100-325m" "Cfin" "CI_III" 0 0 "81-10-18_44.01_-62.93" 0 0 0 0.49813200498132 0
"125" "84-10-18_43.89_-62.89_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-18" 1984 "10" 18 "N" 2100 "WSS" -62.89 43.89 0 5 262 "Basins_100-325m" "Cfin" "CI_III" 1.8 9 "84-10-18_43.89_-62.89" 42 9 0.214285714285714 0.0190839694656489 1.02961941718116
"126" "84-10-20_43.77_-58.55_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-20" 1984 "10" 20 "N" 2330 "ESS" -58.55 43.77 0 20 2454.3 "Oceanic_>750m" "Cfin" "CI_III" 1.05 21 "84-10-20_43.77_-58.55" 21 21 1 0.00814896304445259 0.717839793150317
"127" "84-10-22_45.78_-58.78_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-22" 1984 "10" 22 "D" 1300 "ESS" -58.78 45.78 0 10 264.4 "Basins_100-325m" "Cfin" "CI_III" 122.7 1227 "84-10-22_45.78_-58.78" 1282 1227 0.957098283931357 0.037821482602118 4.81785927939844
"128" "84-10-22_45.81_-58.74_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-22" 1984 "10" 22 "D" 1400 "ESS" -58.74 45.81 130 140 258.6 "Basins_100-325m" "Cfin" "CI_III" 0.1 1 "84-10-22_45.81_-58.74" 2 1 0.5 0.541376643464811 0.0953101798043249
"129" "84-10-23_44.79_-56.63_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-23" 1984 "10" 23 "N" 2256 "ESS" -56.63 44.79 0 100 403.5 "Slope_325-750m" "Cfin" "CI_III" 0 0 "84-10-23_44.79_-56.63" 26 0 0 0.247831474597274 0
"130" "84-10-23_45.39_-57.07_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-23" 1984 "10" 23 "D" 1530 "ESS" -57.07 45.39 200 220 429.8 "Slope_325-750m" "Cfin" "CI_III" 0 0 "84-10-23_45.39_-57.07" 16 0 0 0.511865984178688 0
"131" "84-10-23_45.43_-57.11_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-23" 1984 "10" 23 "D" 1400 "ESS" -57.11 45.43 0 20 424.7 "Slope_325-750m" "Cfin" "CI_III" 2.6 52 "84-10-23_45.43_-57.11" 66 52 0.787878787878788 0.0470920649870497 1.28093384546206
"132" "84-10-23_46.14_-57.81_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-23" 1984 "10" 23 "N" 300 "ESS" -57.81 46.14 200 224 479 "Slope_325-750m" "Cfin" "CI_III" 0 0 "84-10-23_46.14_-57.81" 13 0 0 0.467640918580376 0
"133" "84-10-23_46.17_-57.84_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-23" 1984 "10" 23 "N" 200 "ESS" -57.84 46.17 0 20 469.6 "Slope_325-750m" "Cfin" "CI_III" 21.6 432 "84-10-23_46.17_-57.84" 691 432 0.625180897250362 0.0425894378194208 3.11794990627824
"134" "84-10-24_44.5_-56.21_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-24" 1984 "10" 24 "D" 1110 "ESS" -56.21 44.5 0 60 1719.2 "Oceanic_>750m" "Cfin" "CI_III" 0.0166666666666667 1 "84-10-24_44.5_-56.21" 14 1 0.0714285714285714 0.0348999534667287 0.0165293019512105
"135" "84-10-24_44.53_-56.4_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-24" 1984 "10" 24 "D" 923 "ESS" -56.4 44.53 400 450 1340.1 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "84-10-24_44.53_-56.4" 1 0 0 0.335795836131632 0
"136" "84-10-26_43.37_-62.26_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-26" 1984 "10" 26 "D" 930 "WSS" -62.26 43.37 0 9 107.1 "Basins_100-325m" "Cfin" "CI_III" 0 0 "84-10-26_43.37_-62.26" 8 0 0 0.0840336134453782 0
"137" "84-10-26_43.69_-62.68_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-26" 1984 "10" 26 "N" 2000 "WSS" -62.68 43.69 0 13 147.2 "Basins_100-325m" "Cfin" "CI_III" 0.692307692307692 9 "84-10-26_43.69_-62.68" 9 9 1 0.0883152173913044 0.526093095896779
"138" "84-10-26_43.87_-62.91_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-26" 1984 "10" 26 "N" 2338 "WSS" -62.91 43.87 0 10 262.6 "Basins_100-325m" "Cfin" "CI_III" 49.6 496 "84-10-26_43.87_-62.91" 1034 496 0.479690522243714 0.0380807311500381 3.92395157629342
"139" "84-10-27_43.89_-62.94_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-27" 1984 "10" 27 "N" 100 "WSS" -62.94 43.89 0 210 261 "Basins_100-325m" "Cfin" "CI_III" 1.33333333333333 280 "84-10-27_43.89_-62.94" 292 280 0.958904109589041 0.804597701149425 0.847297860387203
"140" "84-10-27_43.95_-62.93_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-27" 1984 "10" 27 "D" 1100 "WSS" -62.93 43.95 0 100 250.2 "Basins_100-325m" "Cfin" "CI_III" 0 0 "84-10-27_43.95_-62.93" 9 0 0 0.399680255795364 0
"141" "84-10-28_43.67_-63.84_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "84-10-28" 1984 "10" 28 "N" 1920 "WSS" -63.84 43.67 0 110 241.1 "Basins_100-325m" "Cfin" "CI_III" 0.663636363636364 73 "84-10-28_43.67_-63.84" 74 73 0.986486486486487 0.456242223143924 0.509005787049005
"142" "85-06-04_43.17_-62.33_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-04" 1985 "6" 4 "D" 1830 "WSS" -62.33 43.17 0 7 96.9 "Shelf_0-100m" "Cfin" "CI_III" 14 98 "85-06-04_43.17_-62.33" 1020 98 0.096078431372549 0.0722394220846233 2.70805020110221
"143" "85-06-04_43.55_-62.63_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-04" 1985 "6" 4 "N" 2130 "WSS" -62.63 43.55 0 7 94.1 "Shelf_0-100m" "Cfin" "CI_III" 380.142857142857 2661 "85-06-04_43.55_-62.63" 23257 2661 0.114417164724599 0.0743889479277365 5.9431742579802
"144" "85-06-05_43.72_-63.01_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-05" 1985 "6" 5 "N" 2130 "WSS" -63.01 43.72 0 12 258.7 "Basins_100-325m" "Cfin" "CI_III" 22.5 270 "85-06-05_43.72_-63.01" 917 270 0.294438386041439 0.0463857750289911 3.15700042115011
"145" "85-06-05_43.77_-62.63_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-05" 1985 "6" 5 "D" 830 "WSS" -62.63 43.77 0 10 200 "Basins_100-325m" "Cfin" "CI_III" 138.2 1382 "85-06-05_43.77_-62.63" 4362 1382 0.31682714351215 0.05 4.93591174790032
"146" "85-06-05_43.99_-63.09_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-05" 1985 "6" 5 "N" 1945 "WSS" -63.09 43.99 0 10 201.1 "Basins_100-325m" "Cfin" "CI_III" 2095.5 20955 "85-06-05_43.99_-63.09" 22882 20955 0.915785333449873 0.0497265042267529 7.64802456661082
"147" "85-06-05_44_-62.98_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-05" 1985 "6" 5 "D" 1300 "WSS" -62.98 44 0 10 231.3 "Basins_100-325m" "Cfin" "CI_III" 303 3030 "85-06-05_44_-62.98" 16159 3030 0.187511603440807 0.0432338953739732 5.71702770140622
"148" "85-06-06_44.36_-63.29_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-06" 1985 "6" 6 "D" 845 "ESS" -63.29 44.36 0 5 117.7 "Basins_100-325m" "Cfin" "CI_III" 532.6 2663 "85-06-06_44.36_-63.29" 8861 2663 0.300530414174472 0.0424808836023789 6.27964649460141
"149" "85-06-07_44.93_-59.55_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-07" 1985 "6" 7 "N" 2030 "ESS" -59.55 44.93 0 7 180.9 "Basins_100-325m" "Cfin" "CI_III" 373 2611 "85-06-07_44.93_-59.55" 16530 2611 0.157955232909861 0.0386954118297402 5.92425579741453
"150" "85-06-07_45.41_-60.16_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-07" 1985 "6" 7 "D" 900 "ESS" -60.16 45.41 0 11 153.1 "Basins_100-325m" "Cfin" "CI_III" 1322.09090909091 14543 "85-06-07_45.41_-60.16" 27639 14543 0.526176779188827 0.0718484650555193 7.18772587610866
"151" "85-06-08_43.79_-58.51_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-08" 1985 "6" 8 "N" 2230 "ESS" -58.51 43.79 175 200 2335.6 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "85-06-08_43.79_-58.51" 0 0 0 0.0856311012159616 0
"152" "85-06-08_43.81_-58.51_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-08" 1985 "6" 8 "N" 2100 "ESS" -58.51 43.81 0 10 2253 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "85-06-08_43.81_-58.51" 6 0 0 0.00443852640923214 0
"153" "85-06-08_44.15_-58.62_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-08" 1985 "6" 8 "D" 1700 "ESS" -58.62 44.15 0 11 152 "Basins_100-325m" "Cfin" "CI_III" 3.54545454545455 39 "85-06-08_44.15_-58.62" 331 39 0.117824773413897 0.0723684210526316 1.51412773262978
"154" "85-06-08_44.52_-59_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-08" 1985 "6" 8 "D" 1200 "ESS" -59 44.52 0 4 52.4 "Shelf_0-100m" "Cfin" "CI_III" 11.75 47 "85-06-08_44.52_-59" 19794 47 0.00237445690613317 0.0763358778625954 2.54553127160444
"155" "85-06-08_44.72_-59.27_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-08" 1985 "6" 8 "D" 815 "ESS" -59.27 44.72 0 7 92.6 "Shelf_0-100m" "Cfin" "CI_III" 40.4285714285714 283 "85-06-08_44.72_-59.27" 16537 283 0.0171131402309972 0.0755939524838013 3.72397077392521
"156" "85-06-09_44.41_-56.29_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-09" 1985 "6" 9 "D" 1230 "ESS" -56.29 44.41 0 10 1692.7 "Oceanic_>750m" "Cfin" "CI_III" 1.9 19 "85-06-09_44.41_-56.29" 271 19 0.0701107011070111 0.00590772139185916 1.06471073699243
"157" "85-06-10_45.74_-57.41_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-10" 1985 "6" 10 "D" 1100 "ESS" -57.41 45.74 0 20 443.7 "Slope_325-750m" "Cfin" "CI_III" 17.15 343 "85-06-10_45.74_-57.41" 2047 343 0.167562286272594 0.0450755014649538 2.89867056071086
"158" "85-06-10_46.51_-58.11_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-10" 1985 "6" 10 "N" 2200 "ESS" -58.11 46.51 0 20 457.5 "Slope_325-750m" "Cfin" "CI_III" 164.95 3299 "85-06-10_46.51_-58.11" 4962 3299 0.664852881902459 0.0437158469945355 5.11168653816598
"159" "85-06-11_45.3_-57.03_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-11" 1985 "6" 11 "D" 900 "ESS" -57.03 45.3 0 20 438 "Slope_325-750m" "Cfin" "CI_III" 0.75 15 "85-06-11_45.3_-57.03" 265 15 0.0566037735849057 0.045662100456621 0.559615787935423
"160" "85-06-13_45.77_-58.94_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-13" 1985 "6" 13 "D" 1330 "ESS" -58.94 45.77 0 20 234.6 "Basins_100-325m" "Cfin" "CI_III" 566.75 11335 "85-06-13_45.77_-58.94" 11516 11335 0.98428273706148 0.0852514919011083 6.34168118098567
