	TID	DATA_SET	STATION	GEAR_MODEL	DATE_	Year	Month	Day	D.N	HEURE	Region	LONGITUDE	LATITUDE	ZMin	ZMax	Zstation	Z_habitat	TAXON	STADE	Ind.m3	ind.m2	ID	total_abund	cum_abund	pcum	percZ_stn
96	88-06-09_43.75_-63.03_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-09	1988	6	9	N	2230	WSS	-63.03	43.75	0	10	266.2	Basins_100-325m	Cfin	CI_III	29.4	294	88-06-09_43.75_-63.03	5322	294	0.05524239	0.03756574
97	88-06-11_43.75_-63.03_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-11	1988	6	11	D	1430	WSS	-63.03	43.75	135	150	266.2	Basins_100-325m	Cfin	CI_III	0.4	6	88-06-11_43.75_-63.03	179	6	0.033519553	0.563486101
98	88-06-12_43.66_-63.75_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-12	1988	6	12	N	2045	WSS	-63.75	43.66	0	10	228.8	Basins_100-325m	Cfin	CI_III	180.4	1804	88-06-12_43.66_-63.75	6725	1804	0.268252788	0.043706294
99	88-06-12_43.69_-63.76_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-12	1988	6	12	D	1400	WSS	-63.76	43.69	0	10	235.5	Basins_100-325m	Cfin	CI_III	359	3590	88-06-12_43.69_-63.76	22567	3590	0.159081845	0.042462845
100	88-06-12_43.72_-63.76_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-12	1988	6	12	D	1530	WSS	-63.76	43.72	190	200	237	Basins_100-325m	Cfin	CI_III	2.9	29	88-06-12_43.72_-63.76	93	29	0.311827957	0.843881857
101	88-06-13_43.56_-62.98_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-13	1988	6	13	D	900	WSS	-62.98	43.56	0	5	181.2	Basins_100-325m	Cfin	CI_III	12.6	63	88-06-13_43.56_-62.98	415	63	0.151807229	0.027593819
102	88-06-13_43.64_-63.77_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-13	1988	6	13	N	310	WSS	-63.77	43.64	70	100	229.9	Basins_100-325m	Cfin	CI_III	2.733333333	82	88-06-13_43.64_-63.77	337	82	0.243323442	0.434971727
103	88-06-18_44.37_-62.24_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-18	1988	6	18	N	2228	ESS	-62.24	44.37	0	10	238	Basins_100-325m	Cfin	CI_III	0	0	88-06-18_44.37_-62.24	2087	0	0	0.042016807
104	88-06-19_43.66_-62.46_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-19	1988	6	19	N	2030	WSS	-62.46	43.66	0	5	75.8	Shelf_0-100m	Cfin	CI_III	0.8	4	88-06-19_43.66_-62.46	112	4	0.035714286	0.065963061
105	88-06-19_44.36_-62.24_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-19	1988	6	19	N	300	ESS	-62.24	44.36	130	150	234.6	Basins_100-325m	Cfin	CI_III	2.15	43	88-06-19_44.36_-62.24	269	43	0.159851301	0.639386189
106	88-06-20_42.73_-64.1_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	88-06-20	1988	6	20	D	900	WSS	-64.1	42.73	0	10	419.9	Slope_325-750m	Cfin	CI_III	0	0	88-06-20_42.73_-64.1	829	0	0	0.023815194
107	89-10-10_44.02_-59.08_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-10	1989	10	10	N	2230	ESS	-59.08	44.02	0	30	284.3	Basins_100-325m	Cfin	CI_III	2.2	66	89-10-10_44.02_-59.08	72	66	0.916666667	0.105522336
108	89-10-10_44.07_-59.07_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-10	1989	10	10	N	1930	ESS	-59.07	44.07	0	50	869.3	Oceanic_>750m	Cfin	CI_III	0	0	89-10-10_44.07_-59.07	7	0	0	0.057517543
109	89-10-11_44.02_-59.08_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-11	1989	10	11	D	900	ESS	-59.08	44.02	0	30	284.3	Basins_100-325m	Cfin	CI_III	0	0	89-10-11_44.02_-59.08	0	0	0	0.105522336
110	89-10-11_44.08_-59.08_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-11	1989	10	11	D	1656	ESS	-59.08	44.08	0	50	744.2	Slope_325-750m	Cfin	CI_III	0	0	89-10-11_44.08_-59.08	0	0	0	0.06718624
111	89-10-11_44.1_-59.02_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-11	1989	10	11	D	1050	ESS	-59.02	44.1	0	30	304.4	Basins_100-325m	Cfin	CI_III	0	0	89-10-11_44.1_-59.02	0	0	0	0.098554534
112	89-10-13_44.11_-59.03_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-13	1989	10	13	N	2300	ESS	-59.03	44.11	0	10	299.7	Basins_100-325m	Cfin	CI_III	0	0	89-10-13_44.11_-59.03	6	0	0	0.0333667
113	89-10-13_44.15_-59.17_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-13	1989	10	13	D	1616	ESS	-59.17	44.15	0	15	263.8	Basins_100-325m	Cfin	CI_III	0	0	89-10-13_44.15_-59.17	0	0	0	0.056861259
114	89-10-14_44.17_-59.3_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-14	1989	10	14	N	2300	ESS	-59.3	44.17	0	15	266.3	Basins_100-325m	Cfin	CI_III	0	0	89-10-14_44.17_-59.3	0	0	0	0.05632745
115	89-10-14_44.18_-59.31_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-14	1989	10	14	D	930	ESS	-59.31	44.18	0	15	272.2	Basins_100-325m	Cfin	CI_III	0	0	89-10-14_44.18_-59.31	0	0	0	0.055106539
116	89-10-15_44.14_-59.25_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-15	1989	10	15	N	115	ESS	-59.25	44.14	0	15	294	Basins_100-325m	Cfin	CI_III	0	0	89-10-15_44.14_-59.25	0	0	0	0.051020408
117	89-10-15_44.15_-59.25_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-15	1989	10	15	D	1500	ESS	-59.25	44.15	5	20	292.4	Basins_100-325m	Cfin	CI_III	0	0	89-10-15_44.15_-59.25	0	0	0	0.068399453
118	89-10-15_44.17_-59.29_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-15	1989	10	15	D	1300	ESS	-59.29	44.17	0	5	256.9	Basins_100-325m	Cfin	CI_III	0	0	89-10-15_44.17_-59.29	0	0	0	0.019462826
119	89-10-17_45.77_-58.68_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-17	1989	10	17	N	20	ESS	-58.68	45.77	0	10	270.4	Basins_100-325m	Cfin	CI_III	38.5	385	89-10-17_45.77_-58.68	740	385	0.52027027	0.036982249
120	89-10-20_43.72_-63.06_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-20	1989	10	20	N	2340	WSS	-63.06	43.72	0	20	266	Basins_100-325m	Cfin	CI_III	8.25	165	89-10-20_43.72_-63.06	187	165	0.882352941	0.07518797
121	89-10-20_43.83_-62.94_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-20	1989	10	20	N	2000	WSS	-62.94	43.83	0	20	263.6	Basins_100-325m	Cfin	CI_III	0	0	89-10-20_43.83_-62.94	0	0	0	0.075872534
122	89-10-21_43.82_-62.95_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-21	1989	10	21	D	900	WSS	-62.95	43.82	10	260	264.7	Basins_100-325m	Cfin	CI_III	0.856	214	89-10-21_43.82_-62.95	214	214	1	0.98224405
123	89-10-22_43.73_-63.73_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	89-10-22	1989	10	22	N	140	WSS	-63.73	43.73	0	10	236.7	Basins_100-325m	Cfin	CI_III	12.2	122	89-10-22_43.73_-63.73	1340	122	0.091044776	0.042247571
124	90-09-27_43.73_-63.04_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-09-27	1990	9	27	D	845	WSS	-63.04	43.73	0	15	266.2	Basins_100-325m	Cfin	CI_III	0	0	90-09-27_43.73_-63.04	144	0	0	0.05634861
125	90-09-28_43.79_-63.68_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-09-28	1990	9	28	D	1130	WSS	-63.68	43.79	2	15	240.4	Basins_100-325m	Cfin	CI_III	0	0	90-09-28_43.79_-63.68	0	0	0	0.062396007
126	90-09-28_43.83_-63.58_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-09-28	1990	9	28	N	254	WSS	-63.58	43.83	2	20	238.4	Basins_100-325m	Cfin	CI_III	0	0	90-09-28_43.83_-63.58	28	0	0	0.083892617
127	90-10-02_44.33_-62.39_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-02	1990	10	2	N	2230	ESS	-62.39	44.33	0	10	228.5	Basins_100-325m	Cfin	CI_III	0	0	90-10-02_44.33_-62.39	0	0	0	0.043763676
128	90-10-02_44.36_-62.23_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-02	1990	10	2	D	945	ESS	-62.23	44.36	0	15	221.8	Basins_100-325m	Cfin	CI_III	0	0	90-10-02_44.36_-62.23	7	0	0	0.067628494
129	90-10-03_44.4_-63.39_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-03	1990	10	3	D	1035	ESS	-63.39	44.4	8	17	105.8	Basins_100-325m	Cfin	CI_III	0	0	90-10-03_44.4_-63.39	0	0	0	0.160680529
130	90-10-03_44.54_-62.48_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-03	1990	10	3	N	10	ESS	-62.48	44.54	0	10	132.6	Basins_100-325m	Cfin	CI_III	0	0	90-10-03_44.54_-62.48	0	0	0	0.075414781
131	90-10-04_43.65_-64.45_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-04	1990	10	4	N	1950	WSS	-64.45	43.65	0	22	154.9	Basins_100-325m	Cfin	CI_III	0.5	11	90-10-04_43.65_-64.45	11	11	1	0.142027114
132	90-10-04_43.77_-64.54_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	90-10-04	1990	10	4	N	2115	WSS	-64.54	43.77	30	40	97.2	Shelf_0-100m	Cfin	CI_III	0	0	90-10-04_43.77_-64.54	0	0	0	0.411522634
133	91-04-05_43.33_-65.15_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-05	1991	4	5	N	204	WSS	-65.15	43.33	0	130	151.6	Basins_100-325m	Cfin	CI_III	0	0	91-04-05_43.33_-65.15	0	0	0	0.857519789
134	91-04-05_43.33_-65.18_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-05	1991	4	5	D	1829	WSS	-65.18	43.33	0	50	148	Basins_100-325m	Cfin	CI_III	0	0	91-04-05_43.33_-65.18	0	0	0	0.337837838
135	91-04-06_43.33_-65.17_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-06	1991	4	6	D	1829	WSS	-65.17	43.33	0	25	150.3	Basins_100-325m	Cfin	CI_III	0	0	91-04-06_43.33_-65.17	0	0	0	0.166333999
136	91-04-07_43.27_-65.26_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-07	1991	4	7	D	1714	WSS	-65.26	43.27	0	130	143.7	Basins_100-325m	Cfin	CI_III	0	0	91-04-07_43.27_-65.26	0	0	0	0.904662491
137	91-04-07_43.32_-65.14_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-07	1991	4	7	N	221	WSS	-65.14	43.32	0	50	155.4	Basins_100-325m	Cfin	CI_III	0	0	91-04-07_43.32_-65.14	0	0	0	0.321750322
138	91-04-08_43.18_-65.26_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-08	1991	4	8	N	131	WSS	-65.26	43.18	0	137.7	137.7	Basins_100-325m	Cfin	CI_III	0	0	91-04-08_43.18_-65.26	0	0	0	1
139	91-04-18_43.31_-65.29_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-18	1991	4	18	D	1656	WSS	-65.29	43.31	0	105	114.9	Basins_100-325m	Cfin	CI_III	0	0	91-04-18_43.31_-65.29	0	0	0	0.91383812
140	91-04-19_43.32_-65.22_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	91-04-19	1991	4	19	N	129	WSS	-65.22	43.32	0	35	137.5	Basins_100-325m	Cfin	CI_III	0	0	91-04-19_43.32_-65.22	0	0	0	0.254545455
141	92-11-08_43.81_-62.95_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	92-11-08	1992	11	8	D	920	WSS	-62.95	43.81	0	25	265	Basins_100-325m	Cfin	CI_III	0	0	92-11-08_43.81_-62.95	0	0	0	0.094339623
142	95-04-21_43.46_-62.45_Cfin_CI_III	SS_CALSPP	HL4	BIONESS 0.5m	95-04-21	1995	4	21	D	730	WSS	-62.45	43.46	1	25	83.2	Shelf_0-100m	Cfin	CI_III	315.625	7575	95-04-21_43.46_-62.45	17296	7575	0.437962535	0.300480769
143	95-04-21_43.88_-62.88_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	95-04-21	1995	4	21	D	1115	WSS	-62.88	43.88	1	25	258.4	Basins_100-325m	Cfin	CI_III	66.91666667	1606	95-04-21_43.88_-62.88	3229	1606	0.497367606	0.096749226
144	95-04-22_44.25_-63.33_Cfin_CI_III	SS_CALSPP	HL2	BIONESS 0.5m	95-04-22	1995	4	22	D	1300	ESS	-63.33	44.25	1	25	147.7	Basins_100-325m	Cfin	CI_III	2.5	60	95-04-22_44.25_-63.33	2725	60	0.022018349	0.169262018
145	95-04-24_44.13_-58.16_Cfin_CI_III	SS_CALSPP	LL7	BIONESS 0.5m	95-04-24	1995	4	24	D	1430	ESS	-58.16	44.13	1	25	968.4	Oceanic_>750m	Cfin	CI_III	82.5	1980	95-04-24_44.13_-58.16	2079	1980	0.952380952	0.025815779
146	95-04-24_44.46_-58.5_Cfin_CI_III	SS_CALSPP	LL6	BIONESS 0.5m	95-04-24	1995	4	24	N	2031	ESS	-58.5	44.46	1	25	64	Shelf_0-100m	Cfin	CI_III	23.625	567	95-04-24_44.46_-58.5	840	567	0.675	0.390625
147	95-04-25_45.66_-59.69_Cfin_CI_III	SS_CALSPP	LL2	BIONESS 0.5m	95-04-25	1995	4	25	D	1430	ESS	-59.69	45.66	1	25	141.5	Basins_100-325m	Cfin	CI_III	5	120	95-04-25_45.66_-59.69	187	120	0.64171123	0.176678445
148	95-04-25_45.81_-59.85_Cfin_CI_III	SS_CALSPP	LL1	BIONESS 0.5m	95-04-25	1995	4	25	N	2015	ESS	-59.85	45.81	1	25	82.4	Shelf_0-100m	Cfin	CI_III	7.166666667	172	95-04-25_45.81_-59.85	188	172	0.914893617	0.303398058
149	95-04-28_44.93_-61.01_Cfin_CI_III	SS_CALSPP	CPR	BIONESS 0.5m	95-04-28	1995	4	28	D	730	ESS	-61.01	44.93	1	25	200.5	Basins_100-325m	Cfin	CI_III	5	120	95-04-28_44.93_-61.01	751	120	0.159786951	0.124688279
150	95-10-11_43.88_-62.88_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	95-10-11	1995	10	11	D	1030	WSS	-62.88	43.88	0	15	258.4	Basins_100-325m	Cfin	CI_III	0.6	9	95-10-11_43.88_-62.88	15	9	0.6	0.058049536
151	95-10-13_43.18_-62.08_Cfin_CI_III	SS_CALSPP	HL5	BIONESS 0.5m	95-10-13	1995	10	13	D	1030	WSS	-62.08	43.18	10	25	97.8	Shelf_0-100m	Cfin	CI_III	0	0	95-10-13_43.18_-62.08	0	0	0	0.255623722
152	95-10-13_43.48_-62.45_Cfin_CI_III	SS_CALSPP	HL4	BIONESS 0.5m	95-10-13	1995	10	13	D	645	WSS	-62.45	43.48	1	10	81.7	Shelf_0-100m	Cfin	CI_III	0	0	95-10-13_43.48_-62.45	16	0	0	0.122399021
153	95-10-14_44.3_-63.3_Cfin_CI_III	SS_CALSPP	HL2	BIONESS 0.5m	95-10-14	1995	10	14	D	1045	ESS	-63.3	44.3	10	70	144	Basins_100-325m	Cfin	CI_III	0.633333333	38	95-10-14_44.3_-63.3	105	38	0.361904762	0.486111111
154	95-10-16_47.48_-59.48_Cfin_CI_III	SS_CALSPP	CS5	BIONESS 0.5m	95-10-16	1995	10	16	D	1615	ESS	-59.48	47.48	1	25	451.5	Slope_325-750m	Cfin	CI_III	0.333333333	8	95-10-16_47.48_-59.48	28	8	0.285714286	0.055370986
155	96-06-07_43.18_-62.1_Cfin_CI_III	SS_CALSPP	HL5	BIONESS 0.5m	96-06-07	1996	6	7	D	1730	WSS	-62.1	43.18	0	10	119.3	Basins_100-325m	Cfin	CI_III	25.8	258	96-06-07_43.18_-62.1	32404	258	0.00796198	0.083822297
156	96-06-08_43.75_-62.7_Cfin_CI_III	SS_CALSPP	HL3A	BIONESS 0.5m	96-06-08	1996	6	8	D	645	WSS	-62.7	43.75	0	25	180.7	Basins_100-325m	Cfin	CI_III	45.16	1129	96-06-08_43.75_-62.7	2172	1129	0.519797422	0.138350858
157	96-06-08_43.89_-62.89_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	96-06-08	1996	6	8	D	1200	WSS	-62.89	43.89	0	25	262	Basins_100-325m	Cfin	CI_III	18.56	464	96-06-08_43.89_-62.89	998	464	0.46492986	0.095419847
158	96-06-09_43.89_-62.89_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	96-06-09	1996	6	9	D	700	WSS	-62.89	43.89	0	25	262	Basins_100-325m	Cfin	CI_III	46.64	1166	96-06-09_43.89_-62.89	2290	1166	0.509170306	0.095419847
159	96-06-09_44.26_-63.32_Cfin_CI_III	SS_CALSPP	HL2	BIONESS 0.5m	96-06-09	1996	6	9	N	630	ESS	-63.32	44.26	0	35	149.6	Basins_100-325m	Cfin	CI_III	181.4857143	6352	96-06-09_44.26_-63.32	12440	6352	0.510610932	0.233957219
160	96-06-10_45.65_-59.7_Cfin_CI_III	SS_CALSPP	LL2	BIONESS 0.5m	96-06-10	1996	6	10	N	1900	ESS	-59.7	45.65	0	50	140	Basins_100-325m	Cfin	CI_III	89.18	4459	96-06-10_45.65_-59.7	5453	4459	0.817715019	0.357142857
161	96-06-12_44.15_-58.18_Cfin_CI_III	SS_CALSPP	LL7	BIONESS 0.5m	96-06-12	1996	6	12	D	1400	ESS	-58.18	44.15	0	50	786.6	Oceanic_>750m	Cfin	CI_III	805	40250	96-06-12_44.15_-58.18	43620	40250	0.922741862	0.063564709
162	96-06-12_44.48_-58.5_Cfin_CI_III	SS_CALSPP	LL6	BIONESS 0.5m	96-06-12	1996	6	12	N	2200	ESS	-58.5	44.48	0	10	64.8	Shelf_0-100m	Cfin	CI_III	21.4	214	96-06-12_44.48_-58.5	2963	214	0.072224097	0.154320988
163	96-06-13_44.81_-58.85_Cfin_CI_III	SS_CALSPP	LL5	BIONESS 0.5m	96-06-13	1996	6	13	D	730	ESS	-58.85	44.81	10	30	244.6	Basins_100-325m	Cfin	CI_III	4.3	86	96-06-13_44.81_-58.85	3150	86	0.027301587	0.122649223
164	96-11-23_47.09_-59.99_Cfin_CI_III	SS_CALSPP	CS3	BIONESS 0.5m	96-11-23	1996	11	23	D	945	ESS	-59.99	47.09	1	30	310.7	Basins_100-325m	Cfin	CI_III	20	580	96-11-23_47.09_-59.99	717	580	0.808926081	0.096556164
165	96-11-23_47.49_-59.44_Cfin_CI_III	SS_CALSPP	CS5	BIONESS 0.5m	96-11-23	1996	11	23	D	1700	ESS	-59.44	47.49	0	50	432.9	Slope_325-750m	Cfin	CI_III	30.06	1503	96-11-23_47.49_-59.44	1535	1503	0.979153094	0.115500116
166	96-11-23_47.57_-59.33_Cfin_CI_III	SS_CALSPP	CS6	BIONESS 0.5m	96-11-23	1996	11	23	N	1922	ESS	-59.33	47.57	1	20	230	Basins_100-325m	Cfin	CI_III	27	513	96-11-23_47.57_-59.33	649	513	0.790446841	0.086956522
167	97-04-18_43.88_-62.88_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	97-04-18	1997	4	18	D	930	WSS	-62.88	43.88	1	25	258.4	Basins_100-325m	Cfin	CI_III	449.5416667	10789	97-04-18_43.88_-62.88	12260	10789	0.880016313	0.096749226
168	97-04-20_43.24_-65.05_Cfin_CI_III	SS_CALSPP	RL1	BIONESS 0.5m	97-04-20	1997	4	20	D	750	WSS	-65.05	43.24	0	20	163	Basins_100-325m	Cfin	CI_III	152.85	3057	97-04-20_43.24_-65.05	34166	3057	0.089474917	0.122699387
169	97-04-23_43.86_-58.83_Cfin_CI_III	SS_CALSPP	GUL3	BIONESS 0.5m	97-04-23	1997	4	23	D	835	ESS	-58.83	43.86	0	50	721.9	Slope_325-750m	Cfin	CI_III	28.38	1419	97-04-23_43.86_-58.83	3526	1419	0.402439024	0.069261671
170	97-04-23_44.09_-59.06_Cfin_CI_III	SS_CALSPP	GUL3	BIONESS 0.5m	97-04-23	1997	4	23	D	1210	ESS	-59.06	44.09	50	100	478.1	Slope_325-750m	Cfin	CI_III	15.32	766	97-04-23_44.09_-59.06	2471	766	0.309995953	0.209161263
171	97-04-23_44.28_-59.33_Cfin_CI_III	SS_CALSPP	GUL3	BIONESS 0.5m	97-04-23	1997	4	23	D	1600	ESS	-59.33	44.28	50	75	254.6	Basins_100-325m	Cfin	CI_III	5159.56	128989	97-04-23_44.28_-59.33	147773	128989	0.872886116	0.294579733
172	97-04-25_45.8_-58.71_Cfin_CI_III	SS_CALSPP	LB1	BIONESS 0.5m	97-04-25	1997	4	25	D	1830	ESS	-58.71	45.8	0	50	267.4	Basins_100-325m	Cfin	CI_III	10.96	548	97-04-25_45.8_-58.71	726	548	0.754820937	0.186985789
173	97-10-26_43.87_-62.87_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	97-10-26	1997	10	26	D	1645	WSS	-62.87	43.87	0	30	260.8	Basins_100-325m	Cfin	CI_III	2.333333333	70	97-10-26_43.87_-62.87	270	70	0.259259259	0.115030675
174	97-10-26_44.27_-63.31_Cfin_CI_III	SS_CALSPP	HL2	BIONESS 0.5m	97-10-26	1997	10	26	D	930	ESS	-63.31	44.27	1	30	153.9	Basins_100-325m	Cfin	CI_III	86.4137931	2506	97-10-26_44.27_-63.31	2775	2506	0.903063063	0.194931774
175	97-10-27_43.18_-62.09_Cfin_CI_III	SS_CALSPP	HL5	BIONESS 0.5m	97-10-27	1997	10	27	D	815	WSS	-62.09	43.18	0	30	102.4	Basins_100-325m	Cfin	CI_III	16.13333333	484	97-10-27_43.18_-62.09	628	484	0.770700637	0.29296875
176	97-11-01_44.13_-58.17_Cfin_CI_III	SS_CALSPP	LL7	BIONESS 0.5m	97-11-01	1997	11	1	D	1245	ESS	-58.17	44.13	0	30	941.9	Oceanic_>750m	Cfin	CI_III	7.4	222	97-11-01_44.13_-58.17	341	222	0.651026393	0.031850515
177	97-11-02_44.81_-58.85_Cfin_CI_III	SS_CALSPP	LL5	BIONESS 0.5m	97-11-02	1997	11	2	N	2015	ESS	-58.85	44.81	0	25	244.6	Basins_100-325m	Cfin	CI_III	0	0	97-11-02_44.81_-58.85	16	0	0	0.102207686
178	97-11-02_45.49_-59.53_Cfin_CI_III	SS_CALSPP	LL3	BIONESS 0.5m	97-11-02	1997	11	2	N	330	ESS	-59.53	45.49	0	15	125.7	Basins_100-325m	Cfin	CI_III	30.53333333	458	97-11-02_45.49_-59.53	1977	458	0.231664138	0.119331742
179	97-11-02_45.83_-59.84_Cfin_CI_III	SS_CALSPP	LL1	BIONESS 0.5m	97-11-02	1997	11	2	D	800	ESS	-59.84	45.83	1	50	81.7	Shelf_0-100m	Cfin	CI_III	33.67346939	1650	97-11-02_45.83_-59.84	1682	1650	0.98097503	0.611995104
180	98-04-08_43.23_-65.05_Cfin_CI_III	SS_CALSPP	RL1	BIONESS 0.5m	98-04-08	1998	4	8	D	930	WSS	-65.05	43.23	0	10	162.8	Basins_100-325m	Cfin	CI_III	264.6	2646	98-04-08_43.23_-65.05	32432	2646	0.081586088	0.061425061
181	98-04-11_43.69_-63.87_Cfin_CI_III	SS_CALSPP	LH1	BIONESS 0.5m	98-04-11	1998	4	11	D	1800	WSS	-63.87	43.69	230	235	245.6	Basins_100-325m	Cfin	CI_III	1.6	8	98-04-11_43.69_-63.87	8	8	1	0.956840391
182	98-04-15_43.87_-62.87_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	98-04-15	1998	4	15	D	800	WSS	-62.87	43.87	0	10	260.8	Basins_100-325m	Cfin	CI_III	37.5	375	98-04-15_43.87_-62.87	2799	375	0.13397642	0.038343558
183	98-04-15_43.92_-62.96_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 0.5m	98-04-15	1998	4	15	D	900	WSS	-62.96	43.92	0	10	253.7	Basins_100-325m	Cfin	CI_III	37.7	377	98-04-15_43.92_-62.96	1640	377	0.229878049	0.039416634
184	98-04-18_44.4_-62.2_Cfin_CI_III	SS_CALSPP	LEB	BIONESS 0.5m	98-04-18	1998	4	18	D	830	ESS	-62.2	44.4	0	10	225.9	Basins_100-325m	Cfin	CI_III	124.8	1248	98-04-18_44.4_-62.2	3495	1248	0.357081545	0.044267375
185	98-04-19_44.13_-59.1_Cfin_CI_III	SS_CALSPP	gully	BIONESS 0.5m	98-04-19	1998	4	19	N	630	ESS	-59.1	44.13	0	10	302.9	Basins_100-325m	Cfin	CI_III	9.5	95	98-04-19_44.13_-59.1	1627	95	0.058389674	0.033014196
186	98-04-19_44.82_-58.83_Cfin_CI_III	SS_CALSPP	LL5	BIONESS 0.5m	98-04-19	1998	4	19	D	1400	ESS	-58.83	44.82	0	10	245	Basins_100-325m	Cfin	CI_III	5.1	51	98-04-19_44.82_-58.83	1017	51	0.050147493	0.040816327
187	98-04-21_46.95_-60.21_Cfin_CI_III	SS_CALSPP	CS1	BIONESS 0.5m	98-04-21	1998	4	21	D	1700	ESS	-60.21	46.95	0	10	77	Shelf_0-100m	Cfin	CI_III	73.5	735	98-04-21_46.95_-60.21	4823	735	0.152394775	0.12987013
188	98-04-21_47.09_-59.99_Cfin_CI_III	SS_CALSPP	CSL3	BIONESS 0.5m	98-04-21	1998	4	21	D	1845	ESS	-59.99	47.09	0	10	310.7	Basins_100-325m	Cfin	CI_III	650.2	6502	98-04-21_47.09_-59.99	12915	6502	0.503445606	0.032185388
189	98-04-22_47.57_-59.33_Cfin_CI_III	SS_CALSPP	CS6	BIONESS 0.5m	98-04-22	1998	4	22	D	1730	ESS	-59.33	47.57	0	10	280	Basins_100-325m	Cfin	CI_III	0	0	98-04-22_47.57_-59.33	5694	0	0	0.035714286
190	98-10-04_44.14_-58.16_Cfin_CI_III	SS_CALSPP	LL7	HydroBIOS	98-10-04	1998	10	4	N	2145	ESS	-58.16	44.14	0	100	1032.2	Oceanic_>750m	Cfin	CI_III	0.76	76	98-10-04_44.14_-58.16	76	76	1	0.09688045
191	98-10-05_44.73_-58.94_Cfin_CI_III	SS_CALSPP	LL5	BIONESS 0.5m	98-10-05	1998	10	5	D	1845	ESS	-58.94	44.73	0	20	211.9	Basins_100-325m	Cfin	CI_III	0	0	98-10-05_44.73_-58.94	113	0	0	0.094384143
